Mapa;Datoteka;Referenca;Ujemanje;BLEU;ROUGE-L;BERTScore
data_1;cot + few.txt;expected_output.txt;1 vs 5;0.0061;0.0357;0.5695
data_1;cot + few.txt;expected_output_gpt.txt;1 vs 5;0.0026;0.0462;0.6006
data_1;cot.txt;expected_output.txt;1 vs 5;0.0143;0.1111;0.6227
data_1;cot.txt;expected_output_gpt.txt;1 vs 5;0.0334;0.2609;0.6915
data_1;few_shot.txt;expected_output.txt;1 vs 5;0.0029;0.0270;0.5927
data_1;few_shot.txt;expected_output_gpt.txt;1 vs 5;0.0062;0.1519;0.6931
data_1;zero_shot.txt;expected_output.txt;1 vs 5;0.0000;0.0000;0.5940
data_1;zero_shot.txt;expected_output_gpt.txt;1 vs 5;0.0000;0.0286;0.6087
data_1;few_shot_gpt.txt;expected_output.txt;1 vs 5;0.0027;0.0260;0.5933
data_1;few_shot_gpt.txt;expected_output_gpt.txt;1 vs 5;0.0068;0.1707;0.6929
data_10;cot + few.txt;expected_output.txt;1 vs 7;0.0625;0.6250;0.8351
data_10;cot + few.txt;expected_output_gpt.txt;1 vs 6;0.0295;0.6316;0.8222
data_10;cot.txt;expected_output.txt;1 vs 7;0.0000;0.0000;0.6401
data_10;cot.txt;expected_output_gpt.txt;1 vs 6;0.0000;0.0000;0.6268
data_10;few_shot.txt;expected_output.txt;1 vs 7;0.0061;0.1235;0.6519
data_10;few_shot.txt;expected_output_gpt.txt;1 vs 6;0.0068;0.1190;0.6404
data_10;zero_shot.txt;expected_output.txt;1 vs 7;0.0000;0.0267;0.5973
data_10;zero_shot.txt;expected_output_gpt.txt;1 vs 6;0.0029;0.0513;0.6045
data_10;few_shot_gpt.txt;expected_output.txt;1 vs 7;0.0124;0.1373;0.6914
data_10;few_shot_gpt.txt;expected_output_gpt.txt;1 vs 6;0.0783;0.2095;0.7253
data_11;cot + few_gpt.txt;expected_output.txt;1 vs 5;0.3508;0.7826;0.9169
data_11;cot.txt;expected_output.txt;1 vs 5;0.0000;0.0000;0.5929
data_11;cot.txt;expected_output_gpt.txt;1 vs 8;0.0000;0.0000;0.5903
data_11;few_shot.txt;expected_output.txt;1 vs 5;0.0039;0.0930;0.6240
data_11;few_shot.txt;expected_output_gpt.txt;1 vs 8;0.0039;0.1231;0.6266
data_11;zero_shot.txt;expected_output.txt;1 vs 5;0.0020;0.0370;0.5592
data_11;zero_shot.txt;expected_output_gpt.txt;1 vs 8;0.0023;0.0550;0.5652
data_11;few_shot_gpt.txt;expected_output.txt;1 vs 5;0.0297;0.1406;0.6566
data_11;few_shot_gpt.txt;expected_output_gpt.txt;1 vs 8;0.0846;0.1860;0.6844
data_12;cot + few_gpt.txt;expected_output.txt;1 vs 9;0.0000;0.2353;0.6999
data_12;cot + few_gpt.txt;expected_output_gpt.txt;1 vs 8;0.0162;0.3333;0.7374
data_12;cot.txt;expected_output.txt;1 vs 9;0.0050;0.0400;0.5902
data_12;cot.txt;expected_output_gpt.txt;1 vs 8;0.0050;0.0392;0.5893
